date,title,link,Polarity,Sentiment_Type
2021-10-16,"Indonesia plans to churn out 600,000 electric cars by 2030",https://en.antaranews.com/news/194525/indonesia-plans-to-churn-out-600000-electric-cars-by-2030,0.0,NEUTRAL
2021-10-13,Indonesia to commence electric car production in 2023-2024: President,https://en.antaranews.com/news/194025/indonesia-to-commence-electric-car-production-in-2023-2024-president,0.0,NEUTRAL
2021-10-13,SBT and NTT Com to commence trial of local currency price display and settlement system for cross-border used car sales and export,https://en.antaranews.com/news/194017/sbt-and-ntt-com-to-commence-trial-of-local-currency-price-display-and-settlement-system-for-cross-border-used-car-sales-and-export,0.0,NEUTRAL
2021-10-01,Malang Forkopimda launches drive-thru vaccination car,https://en.antaranews.com/news/192113/malang-forkopimda-launches-drive-thru-vaccination-car,0.0,NEUTRAL
2021-09-25,BNPB offers mask cars for Papuans during XX Papua PON,https://en.antaranews.com/news/191029/bnpb-offers-mask-cars-for-papuans-during-xx-papua-pon,0.1,POSITIVE
2021-09-15,Indonesia's first electric car manufactured by May 2022: Minister,https://en.antaranews.com/news/189249/indonesias-first-electric-car-manufactured-by-may-2022-minister,0.25,POSITIVE
2021-08-25,Government committed to developing electric car industry: KSP,https://en.antaranews.com/news/185626/government-committed-to-developing-electric-car-industry-ksp,0.0,NEUTRAL
2021-08-12,MUI chief injured in car accident on Central Java toll road,https://en.antaranews.com/news/183570/mui-chief-injured-in-car-accident-on-central-java-toll-road,0.0,NEUTRAL
2021-08-07,UGM team earns laurels at international electric car competition,https://en.antaranews.com/news/182682/ugm-team-earns-laurels-at-international-electric-car-competition,0.0,NEUTRAL
2021-08-05,Indonesia's automotive industry facing challenges in online sales,https://en.antaranews.com/news/182454/indonesias-automotive-industry-facing-challenges-in-online-sales,0.0,NEUTRAL
2021-07-15,Indonesia aiming to become major electric vehicle player: minister,https://en.antaranews.com/news/179278/indonesia-aiming-to-become-major-electric-vehicle-player-minister,0.0625,POSITIVE
2021-06-24,Electric car battery factory to commence production in 2023: minister,https://en.antaranews.com/news/177374/electric-car-battery-factory-to-commence-production-in-2023-minister,0.0,NEUTRAL
2020-12-20,Patimban Port sends maiden automative export to Brunei Darussalam,https://en.antaranews.com/news/164128/patimban-port-sends-maiden-automative-export-to-brunei-darussalam,0.0,NEUTRAL
2020-11-17,"South Korea, Indonesia to ink pact to make electric car batteries",https://en.antaranews.com/news/161700/south-korea-indonesia-to-ink-pact-to-make-electric-car-batteries,0.0,NEUTRAL
2020-10-20,Indonesia eyes becoming key player in electric vehicle industry,https://en.antaranews.com/news/159409/indonesia-eyes-becoming-key-player-in-electric-vehicle-industry,0.225,POSITIVE
2020-09-17,"Policewoman hit by Yalimo deputy district head's car, dies",https://en.antaranews.com/news/156754/policewoman-hit-by-yalimo-deputy-district-heads-car-dies,0.0,NEUTRAL
2020-09-16,Indonesia records 47.43-percent rise in car sales in August,https://en.antaranews.com/news/156702/indonesia-records-4743-percent-rise-in-car-sales-in-august,0.0,NEUTRAL
2020-08-27,Ministry prescribes circular economy route to car battery development,https://en.antaranews.com/news/155234/ministry-prescribes-circular-economy-route-to-car-battery-development,0.0,NEUTRAL
2020-08-15,Car sales in Indonesia increased 100 percent in July,https://en.antaranews.com/news/154322/car-sales-in-indonesia-increased-100-percent-in-july,0.0,NEUTRAL
2020-08-11,"cocoa motors. begins worldwide sales of car in bag ""WALKCAR"" from August 11",https://en.antaranews.com/news/153914/cocoa-motors-begins-worldwide-sales-of-car-in-bag-walkcar-from-august-11,0.0,NEUTRAL
2020-06-25,South Jakarta's five road sections prepared for Car Free Day,https://en.antaranews.com/news/151266/south-jakartas-five-road-sections-prepared-for-car-free-day,0.4,POSITIVE
2020-06-21,Jakarta's car free day returns after being suspended since March 15,https://en.antaranews.com/news/151068/jakartas-car-free-day-returns-after-being-suspended-since-march-15,0.4,POSITIVE
2020-04-24,"Police turn back 1,181 car drivers following ""mudik"" ban enactment",https://en.antaranews.com/news/146688/police-turn-back-1181-car-drivers-following-mudik-ban-enactment,0.0,NEUTRAL
2020-04-08,Car sales fall as coronavirus outbreak cuts demand,https://en.antaranews.com/news/145654/car-sales-fall-as-coronavirus-outbreak-cuts-demand,0.0,NEUTRAL
2020-01-31,"NTB natives reject cable car to protect, preserve Mt Rinjani",https://en.antaranews.com/news/140539/ntb-natives-reject-cable-car-to-protect-preserve-mt-rinjani,0.0,NEUTRAL
2020-01-22,"332,000 Indonesian-made cars sent overseas in 2019",https://en.antaranews.com/news/140127/332000-indonesian-made-cars-sent-overseas-in-2019,0.0,NEUTRAL
2020-01-17,PLN goads people to transition to electric vehicles,https://en.antaranews.com/news/139818/pln-goads-people-to-transition-to-electric-vehicles,0.0,NEUTRAL
2020-01-02,"East Java toll road crash kills mother, kids",https://en.antaranews.com/news/139056/east-java-toll-road-crash-kills-mother-kids,0.0,NEUTRAL
2019-12-27,Car-free night at Kuta Beach for New Year's Eve : Police,https://en.antaranews.com/news/138792/car-free-night-at-kuta-beach-for-new-years-eve--police,0.1363636363636363,POSITIVE
2019-12-22,Seven people killed after a train hits their car in Cibitung: police,https://en.antaranews.com/news/138547/seven-people-killed-after-a-train-hits-their-car-in-cibitung-police,-0.2,NEGATIVE
2019-12-13,Grab's electric cars to operate in Jakarta in January 2020,https://en.antaranews.com/news/138092/grabs-electric-cars-to-operate-in-jakarta-in-january-2020,0.0,NEUTRAL
2019-12-01,Papuan gunmen attack Freeport Indonesia's escort car,https://en.antaranews.com/news/137448/papuan-gunmen-attack-freeport-indonesias-escort-car,0.0,NEUTRAL
2019-11-03,"Minister urges Gojek, Grab to work with locals on electric cars",https://en.antaranews.com/news/135848/minister-urges-gojek-grab-to-work-with-locals-on-electric-cars,0.0,NEUTRAL
2019-10-12,Four dead as falling tree smashes car in East Java,https://en.antaranews.com/news/134548/four-dead-as-falling-tree-smashes-car-in-east-java,-0.2,NEGATIVE
2019-09-06,President Jokowi inaugurates 'Esemka' car manufacturing factory,https://en.antaranews.com/news/132288/president-jokowi-inaugurates-esemka-car-manufacturing-factory,0.0,NEUTRAL
2019-09-04,BPPT ensures standardization of EV charging stations,https://en.antaranews.com/news/132132/bppt-ensures-standardization-of-ev-charging-stations,0.0,NEUTRAL
2019-09-04,Indonesia organizes foremost electrical vehicle exhibition on Sept 4-5,https://en.antaranews.com/news/132128/indonesia-organizes-foremost-electrical-vehicle-exhibition-on-sept-4-5,0.0,NEUTRAL
2019-09-02,Death toll in Cipularang multiple-car crash rises to eight,https://en.antaranews.com/news/132008/death-toll-in-cipularang-multiple-car-crash-rises-to-eight,0.0,NEUTRAL
2019-09-02,Six dead in Cipularang toll road's multi-vehicle crash: Jasa Marga,https://en.antaranews.com/news/131978/six-dead-in-cipularang-toll-roads-multi-vehicle-crash-jasa-marga,-0.2,NEGATIVE
2019-08-23,Transportation Minister calls for development of electric buses,https://en.antaranews.com/news/131496/transportation-minister-calls-for-development-of-electric-buses,0.0,NEUTRAL
2019-08-08,Indonesian-made electric cars can be competitively priced: President,https://en.antaranews.com/news/130672/indonesian-made-electric-cars-can-be-competitively-priced-president,0.0,NEUTRAL
2019-08-01,Jakarta should use electric cars to improve air quality: Jokowi,https://en.antaranews.com/news/130218/jakarta-should-use-electric-cars-to-improve-air-quality-jokowi,0.0,NEUTRAL
2019-07-29,President expected to sign regulation on electric cars this week,https://en.antaranews.com/news/129968/president-expected-to-sign-regulation-on-electric-cars-this-week,-0.1,NEGATIVE
2019-07-20,"Five dead, three injured in Cipali toll road car crash",https://en.antaranews.com/news/129330/five-dead-three-injured-in-cipali-toll-road-car-crash,-0.2,NEGATIVE
2019-06-29,"Train rams car, killing seven in West Java",https://en.antaranews.com/news/127997/train-rams-car-killing-seven-in-west-java,0.0,NEUTRAL
2019-06-17,"Multi-car collision in Cipali, West Java, claims 12 lives",https://en.antaranews.com/news/127224/multi-car-collision-in-cipali-west-java-claims-12-lives,0.0,NEUTRAL
2019-05-18,Domestic car sales falls 17 percent in April,https://en.antaranews.com/news/125725/domestic-car-sales-falls-17-percent-in-april,0.0,NEUTRAL
2019-04-23,Police probe case of two students killed by police car,https://en.antaranews.com/news/124167/police-probe-case-of-two-students-killed-by-police-car,-0.2,NEGATIVE
2019-02-04,Legislator receives two-month sentence for using state car for campaign,https://en.antaranews.com/news/122148/legislator-receives-two-month-sentence-for-using-state-car-for-campaign,0.0,NEUTRAL
2018-12-19,VW plans to build car factory in Indonesia,https://en.antaranews.com/news/121433/vw-plans-to-build-car-factory-in-indonesia,0.0,NEUTRAL
2018-12-03,Urban electric car of Muhammadiyah Malang Univ breaks Asian record,https://en.antaranews.com/news/120990/urban-electric-car-of-muhammadiyah-malang-univ-breaks-asian-record,0.0,NEUTRAL
2018-11-29,Jonan says he cannot afford to buy electric car,https://en.antaranews.com/news/120913/jonan-says-he-cannot-afford-to-buy-electric-car,0.0,NEUTRAL
2018-11-08,Pindad introduces latest armored car in cooperation with CSG,https://en.antaranews.com/news/120303/pindad-introduces-latest-armored-car-in-cooperation-with-csg,0.5,POSITIVE
2018-10-31,Toshiba adds new 4-channel high-efficiency linear power amplifier for car audios featuring maximum 45W output,https://en.antaranews.com/news/120049/toshiba-adds-new-4-channel-high-efficiency-linear-power-amplifier-for-car-audios-featuring-maximum-45w-output,0.1363636363636363,POSITIVE
2018-10-02,Toyota Astra raises car prices on high production costs,https://en.antaranews.com/news/119134/toyota-astra-raises-car-prices-on-high-production-costs,0.16,POSITIVE
2018-09-25,Toshiba launches power amplifier for car audio with strong resistance to power surges,https://en.antaranews.com/news/118898/toshiba-launches-power-amplifier-for-car-audio-with-strong-resistance-to-power-surges,0.4333333333333333,POSITIVE
2018-07-31,At least 6 killed in car bomb attack in southern Philippines,https://en.antaranews.com/news/116966/at-least-6-killed-in-car-bomb-attack-in-southern-philippines,-0.1666666666666666,NEGATIVE
2018-06-19,Car accident kills three Indonesian umrah pilgrims,https://en.antaranews.com/news/116215/car-accident-kills-three-indonesian-umrah-pilgrims,0.0,NEUTRAL
2018-05-19,Govt to promote electric car industry in Indonesia,https://en.antaranews.com/news/115771/govt-to-promote-electric-car-industry-in-indonesia,0.0,NEUTRAL
2018-01-17,World's first connected car cyber-security service - Trillium@Tokyo,https://en.antaranews.com/news/114293/worlds-first-connected-car-cyber-security-service--trilliumtokyo,0.25,POSITIVE
2017-12-19,President tries electric car on Sumo Toll Road,https://en.antaranews.com/news/113940/president-tries-electric-car-on-sumo-toll-road,-0.1,NEGATIVE
2017-12-14,Toshiba adds power amplifier IC adopting pure MOS for car audio,https://en.antaranews.com/news/113844/toshiba-adds-power-amplifier-ic-adopting-pure-mos-for-car-audio,0.2142857142857142,POSITIVE
2017-12-07,Toshiba launches 4-channel high-efficiency linear power amplifier for car audio,https://en.antaranews.com/news/113744/toshiba-launches-4-channel-high-efficiency-linear-power-amplifier-for-car-audio,0.0,NEUTRAL
2017-11-17,Novanto hospitalized after car accident,https://en.antaranews.com/news/113447/novanto-hospitalized-after-car-accident,0.0,NEUTRAL
2017-10-28,Huge blast in Mogadishu,https://en.antaranews.com/news/113254/huge-blast-in-mogadishu,0.4000000000000001,POSITIVE
2017-09-26,Electric car development needs large investment: Minister,https://en.antaranews.com/news/112801/electric-car-development-needs-large-investment-minister,0.2142857142857142,POSITIVE
2017-06-18,"Six dead, seven injured in Bali car crash",https://en.antaranews.com/news/111444/six-dead-seven-injured-in-bali-car-crash,-0.2,NEGATIVE
2017-04-17,Sean Gelael to test drive Toro Rosso`s Formula 1 car,https://en.antaranews.com/news/110475/sean-gelael-to-test-drive-toro-rossos-formula-1-car,0.0,NEUTRAL
2017-03-29,Toshiba's new car audio system regulator IC handles all power requirements,https://en.antaranews.com/news/110200/toshibas-new-car-audio-system-regulator-ic-handles-all-power-requirements,0.1363636363636363,POSITIVE
2017-01-26,Toshiba launches car audio current-feedback power amplifier IC with built-in full-time offset detection,https://en.antaranews.com/news/109130/toshiba-launches-car-audio-current-feedback-power-amplifier-ic-with-built-in-full-time-offset-detection,0.0,NEUTRAL
2016-12-28,Jakarta to hold car-free night on New Year`s Eve,https://en.antaranews.com/news/108638/jakarta-to-hold-car-free-night-on-new-years-eve,0.1363636363636363,POSITIVE
2016-10-19,"Laptop-sized car ""WALKCAR"" to be available for pre-order from Oct. 21",https://en.antaranews.com/news/107279/laptop-sized-car-walkcar-to-be-available-for-pre-order-from-oct-21,0.4,POSITIVE
2016-10-16,President Jokowi meets people at car-free day in Solo,https://en.antaranews.com/news/107250/president-jokowi-meets-people-at-car-free-day-in-solo,0.0,NEUTRAL
2016-06-14,Astra doubts car sales would increase,https://en.antaranews.com/news/105187/astra-doubts-car-sales-would-increase,0.0,NEUTRAL
2016-06-07,"Car bomb targeting police kills 11, wounds 36 in Istanbul",https://en.antaranews.com/news/105074/car-bomb-targeting-police-kills-11-wounds-36-in-istanbul,0.0,NEUTRAL
2016-05-16,"Astra car sales down 2.7 percent to 208,804 units in Q1",https://en.antaranews.com/news/104705/astra-car-sales-down-27-percent-to-208804-units-in-q1,-0.1555555555555555,NEGATIVE
2016-04-27,Toshiba launches current-feedback 4ch power amplifier IC for car audio with built-in full-time offset detection,https://en.antaranews.com/news/104386/toshiba-launches-current-feedback-4ch-power-amplifier-ic-for-car-audio-with-built-in-full-time-offset-detection,0.0,NEUTRAL
2016-04-03,Indonesian students` Chem-E-Car to compete in Malaysia,https://en.antaranews.com/news/103979/indonesian-students-chem-e-car-to-compete-in-malaysia,0.0,NEUTRAL
2016-03-22,Pioneer shows off car infotainment tech at Bangkok Motor Show,https://en.antaranews.com/news/103802/pioneer-shows-off-car-infotainment-tech-at-bangkok-motor-show,0.0,NEUTRAL
2016-03-10,Indonesia expected to become car production hub,https://en.antaranews.com/news/103584/indonesia-expected-to-become-car-production-hub,-0.1,NEGATIVE
2015-08-21,Car industry interested in developing Indonesian electric car,https://en.antaranews.com/news/100091/car-industry-interested-in-developing-indonesian-electric-car,0.25,POSITIVE
2015-08-18,Progress in development of electric cars worries major car makers,https://en.antaranews.com/news/100028/progress-in-development-of-electric-cars-worries-major-car-makers,0.0625,POSITIVE
2015-08-07,"Car bombing kills at least 8, wounding more than 100 in Afghan capital",https://en.antaranews.com/news/99858/car-bombing-kills-at-least-8-wounding-more-than-100-in-afghan-capital,0.1,POSITIVE
2015-08-06,Honda Access Gains Competitive Advantage with Car Accessories Prototyped by Stratasys 3D Printer,https://en.antaranews.com/news/99831/honda-access-gains-competitive-advantage-with-car-accessories-prototyped-by-stratasys-3d-printer,0.0,NEUTRAL
2015-07-30,Bank Permata reports increase in net profit amid uncertainty,https://en.antaranews.com/news/99709/bank-permata-reports-increase-in-net-profit-amid-uncertainty,0.0,NEUTRAL
2015-06-24,Chinese Cellphone Maker Ramos Repurposes Electric Car Battery Technology to Extend Life of Cellphone Batteries,https://en.antaranews.com/news/99318/chinese-cellphone-maker-ramos-repurposes-electric-car-battery-technology-to-extend-life-of-cellphone-batteries,0.0,NEUTRAL
2015-06-21,"Three killed, 34 injured in Austrian car accident",https://en.antaranews.com/news/99267/three-killed-34-injured-in-austrian-car-accident,-0.2,NEGATIVE
2015-05-22,Could another English King be buried under a car park?,https://en.antaranews.com/news/99031/could-another-english-king-be-buried-under-a-car-park,0.0,NEUTRAL
2015-04-06,President Jokowi revokes controversial car down payment regulation,https://en.antaranews.com/news/98381/president-jokowi-revokes-controversial-car-down-payment-regulation,0.1972222222222222,POSITIVE
2015-02-26,Esemka to serve as rural transportation vehicle,https://en.antaranews.com/news/97903/esemka-to-serve-as-rural-transportation-vehicle,0.0,NEUTRAL
2015-02-22,"Pro-Indonesia coalition holds ""Coin for Australia"" at car free day",https://en.antaranews.com/news/97854/pro-indonesia-coalition-holds-coin-for-australia-at-car-free-day,0.4,POSITIVE
2015-02-12,Smoking in cars to become illegal in England,https://en.antaranews.com/news/97756/smoking-in-cars-to-become-illegal-in-england,-0.5,NEGATIVE
2015-02-09,Not easy to develop national car firm: VP,https://en.antaranews.com/news/97725/not-easy-to-develop-national-car-firm-vp,-0.2083333333333333,NEGATIVE
2015-02-06,The EXNESS Logo Adorns Infiniti Red Bull Racing's New Formula One Car,https://en.antaranews.com/news/97689/the-exness-logo-adorns-infiniti-red-bull-racings-new-formula-one-car,0.0681818181818181,POSITIVE
2014-12-17,Two car bombings kill 40 in central Yemen,https://en.antaranews.com/news/96939/two-car-bombings-kill-40-in-central-yemen,0.0,NEUTRAL
2014-12-02,Enterprise Rent-A-Car Heads into Baltics with Appointment of Bioline,https://en.antaranews.com/news/96770/enterprise-rent-a-car-heads-into-baltics-with-appointment-of-bioline,0.0,NEUTRAL
2014-11-30,David Beckham and son unhurt in UK car crash,https://en.antaranews.com/news/96757/david-beckham-and-son-unhurt-in-uk-car-crash,0.0,NEUTRAL
2014-11-07,Shooters of Amien Rais`s car used homemade rifle: Police,https://en.antaranews.com/news/96448/shooters-of-amien-raiss-car-used-homemade-rifle-police,0.0,NEUTRAL
2014-10-16,Dahlan ready to continue developing electric car program,https://en.antaranews.com/news/96094/dahlan-ready-to-continue-developing-electric-car-program,0.2,POSITIVE
2014-10-13,Triple car bomb attack kills 25 in Iraq town: officials,https://en.antaranews.com/news/96038/triple-car-bomb-attack-kills-25-in-iraq-town-officials,0.0,NEUTRAL
2014-09-24,No problem if Indonesian green car program stopped: Gaikindo,https://en.antaranews.com/news/95818/no-problem-if-indonesian-green-car-program-stopped-gaikindo,-0.2,NEGATIVE
2014-09-18,Indonesia`s car production predicted to reach 1.4 million units,https://en.antaranews.com/news/95727/indonesias-car-production-predicted-to-reach-14-million-units,0.0,NEUTRAL
2014-08-27,Toyota Holds Eighth Dream Car Art Contest Awards Ceremony,https://en.antaranews.com/news/95427/toyota-holds-eighth-dream-car-art-contest-awards-ceremony,0.0,NEUTRAL
2014-08-17,ITS launches second generation of formula car,https://en.antaranews.com/news/95346/its-launches-second-generation-of-formula-car,0.0,NEUTRAL
2014-06-02,"Share Your Car Passion, Go to 2014 Formula 1 Shell Belgium Grand Prix",https://en.antaranews.com/news/94276/share-your-car-passion-go-to-2014-formula-1-shell-belgium-grand-prix,0.5,POSITIVE
2014-05-03,"1 killed, two injured in Cairo car explosion",https://en.antaranews.com/news/93868/1-killed-two-injured-in-cairo-car-explosion,-0.2,NEGATIVE
2014-04-30,Anti-graft body confiscates a mayor`s grandmother's car,https://en.antaranews.com/news/93838/anti-graft-body-confiscates-a-mayors-grandmothers-car,0.0,NEUTRAL
2014-03-26,Indonesia`s car exports projected to hit 200 thousand this year,https://en.antaranews.com/news/93382/indonesias-car-exports-projected-to-hit-200-thousand-this-year,0.0,NEUTRAL
2014-03-23,Singer Shavrina seriously injured in car accident in Moscow,https://en.antaranews.com/news/93309/singer-shavrina-seriously-injured-in-car-accident-in-moscow,-0.3333333333333333,NEGATIVE
2014-01-16,Car bomb in Lebanon town near Syria kills three,https://en.antaranews.com/news/92227/car-bomb-in-lebanon-town-near-syria-kills-three,0.1,POSITIVE
2013-12-27,Beirut car bomb kills adviser to ex-PM,https://en.antaranews.com/news/91976/beirut-car-bomb-kills-adviser-to-ex-pm,0.0,NEUTRAL
2013-10-07,National electric car project could boost Indonesian products` exports: Minister,https://en.antaranews.com/news/91044/national-electric-car-project-could-boost-indonesian-products-exports-minister,0.0,NEUTRAL
2013-09-27,Cheap car policy sparks controversy,https://en.antaranews.com/news/90897/cheap-car-policy-sparks-controversy,0.4,POSITIVE
2013-09-26,Govt to develop electric car in stages: Minister,https://en.antaranews.com/news/90881/govt-to-develop-electric-car-in-stages-minister,0.0,NEUTRAL
2013-09-26,Rp11 tln spent on research for electrical bus,https://en.antaranews.com/news/90880/rp11-tln-spent-on-research-for-electrical-bus,-0.1,NEGATIVE
